[   0.00s -    9.52s] Question 71-73 refer to the following excerpt from a meeting.
[  10.74s -   13.24s] Okay, let's get the monthly staff meeting started.
[  13.80s -   19.32s] First off, this Saturday is the annual holiday parade, and as many of you know, the parade
[  19.34s -   20.78s] goes right down our street.
[  21.38s -   23.60s] It's always one of our busiest days.
[  23.98s -   27.98s] Lots of people will stop by for lunch, and the line can get quite long.
[  28.76s -   33.22s] So we'll need a few extra cooks and servers, and everyone who works that day will get
[  33.28s -   34.20s] overtime pay.
[  34.80s -   37.26s] Let me know soon if you're able to work on Saturday.
[  37.92s -   41.58s] Oh, and I strongly recommend taking the bus or train if you can.
[  42.22s -   46.40s] Remember that it will be very difficult to park on Saturday during the event.
[  47.50s -   52.36s] Question 74-76 refer to the following telephone message.
[  53.64s -   54.28s] Hi, Jeannie.
[  54.76s -   59.26s] I really like the suggestion you gave at yesterday's staff meeting for promoting our electronic
[  59.36s -   59.74s] store.
[  60.32s -   65.98s] I think holding a photography contest is a great idea, especially since we mainly sell cameras
[  66.00s -   67.04s] and camera equipment.
[  67.58s -   72.28s] There are several things we'd have to do to prepare for it though, like decide on a submission
[  72.34s -   75.38s] deadline and outline the basic rules for the contest.
[  76.06s -   79.28s] We could even consider offering a prize for the first place winner.
[  79.76s -   81.92s] Let's meet sometime this week to get started.
[  82.48s -   86.30s] I'll take a look at our schedules this morning and book a time for us to get together.
[  87.62s -   91.98s] Question 77-79 refer to the following announcement.
[  93.22s -   94.24s] Okay, everyone.
[  94.82s -   99.72s] Before you head out to the factory floor this morning to start your shifts, I have a brief
[  99.80s -  100.36s] announcement.
[ 100.86s -  105.94s] As most of you know, the new conveyor belt is now installed and up and running.
[ 106.50s -  111.80s] This new conveyor belt is very similar to the older model, except it's twice as fast
[ 111.92s -  112.76s] as the old one.
[ 113.32s -  117.82s] This means that our factory can now move double the number of units per hour.
[ 118.40s -  121.32s] Clearly this is a big improvement in production speed.
[ 121.92s -  127.05s] However, it could also be a challenge for us to watch out for production errors, so you're
[ 127.05s -  131.38s] all required to watch a short training video this morning before starting work.
[ 132.66s -  136.72s] Questions 80-82 refer to the following telephone message.
[ 137.96s -  139.00s] Hello, Guanghou.
[ 139.50s -  144.25s] Listen, I hate to bother you after you left the office for the day, but I just took a
[ 144.25s -  149.06s] look at the materials for the health insurance orientation we're doing for our new employees
[ 149.20s -  150.30s] on Wednesday morning.
[ 150.86s -  155.67s] Andre was supposed to finish preparing the new employee benefits packets, but he's been
[ 155.67s -  157.52s] out sick so they're not done.
[ 158.22s -  161.94s] I know you're going to be busy, but I don't have any appointments tomorrow.
[ 162.22s -  167.26s] I do have a couple of questions about some of the materials, though, so give me a call
[ 167.26s -  167.70s] back.
[ 169.64s -  174.04s] Questions 83-85 refer to the following advertisement.
[ 175.30s -  177.36s] Do you work in the technology industry?
[ 177.96s -  180.74s] Want to stay updated on the latest industry trends?
[ 181.40s -  184.32s] Subscribe to our online magazine TechNow.
[ 184.80s -  188.78s] This month's issue is devoted to women who are leaders in the technology field.
[ 189.30s -  195.06s] We're pleased to present an exclusive interview with Erica Clifton, the founder and CEO of Clifton
[ 195.06s -  196.24s] Technology Solutions.
[ 197.04s -  201.81s] Erica gives advice for women starting their own businesses and shares her personal success
[ 201.81s -  202.34s] story.
[ 202.86s -  208.24s] If you subscribe to TechNow today, you'll receive a free padded carrying case for your laptop,
[ 208.26s -  211.14s] but hurry, the promotion expires in a week.
[ 212.34s -  216.44s] Questions 86-88 refer to the following broadcast.
[ 217.70s -  223.54s] This is Health on the Go, a weekly broadcast that gives you advice about your eating habits.
[ 224.32s -  225.88s] Today we're talking about salt.
[ 226.42s -  228.78s] Who's heard that salt is not good for you?
[ 229.14s -  234.50s] Well, this negative view of salt is surprising, because it's simply not true.
[ 235.14s -  238.86s] You actually do need some salt in your diet to remain healthy.
[ 239.18s -  245.08s] But remember, salt occurs naturally in most foods, so you don't need to add extra salt
[ 245.10s -  245.82s] to your diet.
[ 246.38s -  249.28s] In fact, even fruits and vegetables contain salt.
[ 249.96s -  253.88s] I know you're all interested in trying more recipes that use fruits and vegetables.
[ 254.64s -  257.58s] We'll be talking about that on next week's broadcast.
[ 259.06s -  263.36s] Questions 89-91 refer to the following news report.
[ 264.56s -  266.24s] Welcome to the evening news.
[ 266.80s -  268.88s] I'm your host, Charlene Dawson.
[ 269.48s -  274.62s] We've got a lot of interesting stories to cover on tonight's program, and at the top of
[ 274.64s -  280.44s] our list is an exciting announcement from Francisco City, where a solar-powered airport
[ 280.62s -  281.34s] will be built.
[ 281.76s -  285.12s] One of the very first solar-powered airports in the world.
[ 285.50s -  290.76s] If you're looking for a job, NASA builders, the construction firm that is building the
[ 290.76s -  293.96s] airport, will be holding an employment fair next month.
[ 294.30s -  297.92s] At the fair they'll interview and hire workers for the project.
[ 298.26s -  302.42s] For more details about NASA builders, check the city's website.
[ 304.24s -  307.86s] Questions 92-94 refer to the following broadcast.
[ 309.14s -  314.70s] Hi everyone, my name is Raoul Baltista and this is History with Raoul, the weekly podcast
[ 314.70s -  319.58s] where we investigate little known historical facts that have had a huge impact on today's
[ 319.58s -  319.92s] world.
[ 320.52s -  323.14s] Today we'll be discussing a topic from art history.
[ 323.60s -  328.54s] We'll hear about the mysterious disappearance of some paintings from a museum in 17th
[ 328.54s -  329.40s] century Europe.
[ 330.32s -  334.34s] Professor Ignacio Ortega from Westland University will explain what happened.
[ 334.86s -  340.12s] But before we speak to Professor Ortega, please remember, this program is only made possible
[ 340.16s -  342.16s] by the financial support of our members.
[ 342.80s -  345.40s] Visit historywithraoul.org today.
[ 346.58s -  351.30s] Questions 95-97 refer to the following talk and schedule.
[ 352.46s -  353.80s] Welcome back everyone.
[ 354.44s -  359.22s] At tonight's session we'll pick up where we left off and go right into a discussion of
[ 359.24s -  363.08s] the different types of interviews, in person, by phone, etc.
[ 363.82s -  368.94s] After a brief break, I'll split you into small groups so you can practice being in an
[ 368.94s -  370.66s] actual interview situation.
[ 371.32s -  375.52s] I'll walk around the room and listen to each group in order to give you individual feedback.
[ 376.30s -  380.66s] Now before we start, please sign your name on the attendance sheet on my desk.
[ 381.70s -  387.56s] Questions 98-100 refer to the following excerpt from a meeting and garden layout.
[ 388.84s -  391.78s] Thanks for attending this planning meeting for the new neighbourhood garden.
[ 392.42s -  395.06s] I'm Chow and I'm coordinating this project.
[ 395.68s -  397.20s] Here's the layout for the new garden.
[ 397.88s -  403.01s] We'll mostly be planting vegetables, but we will have a herb garden too, and we're
[ 403.01s -  404.22s] going to plant that first.
[ 404.92s -  408.98s] The herbs are going to go in the plot between the picnic area and the tool shed.
[ 409.54s -  412.20s] Also, I need volunteers to help me on Saturday.
[ 412.78s -  415.56s] I'd like to put up a fence around the perimeter of the garden.
[ 416.28s -  418.40s] The wood for the fence will be delivered that morning.
[ 419.22s -  423.64s] Questions 71-73 refer to the following broadcast.
[ 424.66s -  429.90s] In local news, residents have long awaited the grand opening of the River City Zoo this
[ 429.90s -  430.36s] Saturday.
[ 430.56s -  435.30s] For this special grand opening event, hours will be extended until 8 p.m.
[ 435.86s -  439.20s] And the zoo will also be having a photo contest during the event.
[ 439.78s -  443.90s] Be sure to take photos while you walk through the exhibits to submit for the contest.
[ 444.76s -  448.54s] To read the contest rules and regulations, visit the zoo's website.
[ 449.62s -  454.18s] Questions 74-76 refer to the following announcement.
[ 455.42s -  457.46s] Attention passengers flying to Dublin.
[ 458.16s -  462.96s] Since this flight is fully booked and luggage space will be limited, you may check extra
[ 462.98s -  463.88s] bags for free.
[ 464.26s -  469.31s] If you'd like to check your luggage to your final destination at No Extraterge, you can
[ 469.31s -  472.18s] speak to an airline representative at the gate desk.
[ 473.08s -  477.18s] We'll begin boarding soon, so please check your ticket for your seat assignment.
[ 477.90s -  479.40s] Thank you for flying with us.
[ 480.86s -  485.04s] Question 77-79 refer to the following talk.
[ 486.20s -  487.96s] Glad to see everyone's back on the bus.
